Model,Seats,Sector,Fuel burn,Fuel per seat
Airbus A220-300,150,2000,2.42,2.02
Airbus A320,150,2151,2.91,2.43
Airbus A321LR,154,3400,2.99,2.43
Airbus A330-200,241,3000,6,3.11
Airbus A330-300,262,3000,6.25,2.98
Airbus A330-900,310,3350,6,2.42
Airbus A340-300,262,3000,6.81,3.25
Airbus A380,544,2000,13.6,3.14
Boeing 737 MAX-8,168,3400,2.86,2.13
Boeing 737 MAX-9,144,3400,2.91,2.53
Boeing 747-400,416,2151,10.77,3.24
Boeing 747-8,467,3000,9.9,2.65
Boeing 757-200W,158,3400,3.79,3.00
Boeing 767-200ER,181,3000,4.83,3.34
Boeing 767-200ER,193,3400,5.01,3.25
Boeing 767-200ER,224,3000,4.93,2.75
Boeing 767-300ER,218,2151,5.38,3.09
Boeing 767-300ER,218,3000,5.39,3.09
Boeing 767-300ER,269,3000,5.51,2.56
Boeing 767-400ER,245,3000,5.78,2.95
Boeing 767-400ER,304,3000,5.93,2.44
Boeing 767-400ER,304,3265,5.92,2.43
Boeing 777-200,305,3000,6.83,2.80
Boeing 777-200ER,301,3000,6.96,2.89
Boeing 777-300,368,3000,7.88,2.68
Boeing 787-8,291,3400,5.26,2.26
Boeing 787-8,238,3400,5.11,2.68
Boeing 787-9,304,3350,5.77,2.37
Irkut MC-21-300,163,1750,3.04,2.33
