Model,Seats,Sector,Fuel burn,Fuel per seat
Airbus A220 100,115,600,2.8,3.07
Airbus A220 300,140,600,3.10,2.75
Airbus A220-100,125,500,2.57,2.57
Airbus A220-300,160,500,2.85,2.23
Airbus A319neo,144,600,3.37,2.92
Airbus A319neo,124,660,2.82,2.82
Airbus A320neo,154,660,2.79,2.25
Airbus A321neo,192,660,3.30,2.19
Antonov An-148,89,684,2.89,4.06
Antonov An-158,99,684,3,3.79
ATR 42-600,50,500,1.30,3.27
ATR 72-600,72,500,1.41,2.46
Boeing 737-300,126,507,3.49,3.46
Boeing 737-600,110,500,3.16,3.59
Boeing 737-700,126,500,3.21,3.19
Boeing 737 MAX 7,128,660,2.85,2.77
Boeing 737 MAX 7,144,600,3.39,2.93
Boeing 737-800,162,500,3.59,2.77
Boeing 737 MAX 8,166,660,3.04,2.28
Boeing 737-900ER,180,500,3.83,2.66
Boeing 737 MAX 9,180,660,3.30,2.28
Boeing 757-200,200,500,4.68,2.91
Boeing 757-300,243,500,5.19,2.66
Bombardier CRJ100,50,577,1.87,4.68
Bombardier CRJ200,50,580,1.80,4.49
Bombardier CRJ700,70,574,2.45,4.36
Bombardier CRJ900,88,573,2.78,3.94
Bombardier CRJ1000,100,500,2.66,3.33
Bombardier Dash 8 Q400,74,500,2.31,3.9
Bombardier Dash 8 Q400,74,600,1.83,3.09
Dornier 328,31,600,1.08,4.35
Embraer E-Jet E2-175,88,600,2.44,3.44
Embraer E-Jet E2-190,106,500,2.48,2.93
Embraer E-Jet E2-190,106,600,2.83,3.32
Embraer E-Jet E2-195,132,500,2.62,2.5
Embraer E-Jet E2-195,132,600,3.07,2.90
Embraer E-Jet-170,80,606,2.6,4.08
Embraer E-Jet-175,88,605,2.80,3.97
Embraer E-Jet-190,114,607,3.24,3.54
Embraer E-Jet-195,122,607,3.21,3.28
Embraer ERJ-135ER,37,596,1.44,4.86
Embraer ERJ-145ER,50,598,1.55,3.86
Pilatus PC-12,9,500,0.41,5.66
Saab 340,31,500,0.95,3.83
Saab 2000,50,500,1.54,3.85
Sukhoi SSJ100,98,500,2.81,3.59
