Model,Seats,Sector,Fuel burn,Fuel per seat
Airbus A220-100,125,1000,2.28,2.28
Airbus A220-300,135,1000,2.30,2.13
Airbus A220-300,150,1000,2.42,2.02
Airbus A220-300,160,1000,2.56,2.00
Airbus A319,124,1000,2.93,2.95
Airbus A319neo,136,1000,2.4,2.22
Airbus A320,150,1000,3.13,2.61
Airbus A320neo,180,1000,2.79,1.94
Airbus A321-200,180,1000,3.61,2.50
Airbus A321neo,220,1000,3.47,1.98
Airbus A330-200,293,1000,5.6,2.37
Antonov An-148 (1190 nmi),89,1000,2.75,3.86
Antonov An-158 (1190 nmi),99,1000,2.83,3.57
Boeing 737-600,110,1000,2.77,3.15
Boeing 737-700,126,1000,2.82,2.79
Boeing 737-700,128,1000,2.8,2.71
Boeing 737 MAX-7,140,1000,2.51,1.94
Boeing 737-800,162,1000,3.17,2.44
Boeing 737-800,160,1000,3.45,2.68
Boeing 737-800W,162,1000,3.18,2.45
Boeing 737 MAX-8,162,1000,2.71,2.04
Boeing 737-900ER,180,1000,3.42,2.38
Boeing 737-900ERW,180,1000,3.42,2.37
Boeing 737 MAX-9,180,1000,2.91,2.02
Boeing 757-200,190,1000,4.60,3.02
Boeing 757-200,200,1000,4.16,2.59
Boeing 757-300,243,1000,4.68,2.40
Boeing 787-8,248,1000,5.50,2.77
Boeing 787-9,296,1000,5.67,2.39
Boeing 787-10,336,1000,6.09,2.27
Quest Kodiak,9,1000,0.71,6.28
